id,x,y,total_work,remaining_work
0,72.36300845577708,16.835322211623364,10.0,10.0
1,76.42041332924332,19.967321805873826,5.0,5.0
2,80.0439957462751,23.592457145773608,10.0,10.0
3,83.17425658376416,27.651203609263888,15.0,15.0
4,85.75979704529965,32.0769166916242,10.0,10.0
5,87.75816262798425,36.79692630639769,10.0,10.0
6,89.1365402241981,41.73373002620142,10.0,10.0
7,89.87229691191868,46.80626567044159,10.0,10.0
8,89.9533515866747,51.931242344077525,10.0,10.0
9,89.37837333294755,57.024508071815816,15.0,15.0
10,88.15680327776728,62.0024315712179,5.0,5.0
11,86.30869956766784,66.78327547604569,15.0,15.0
12,83.86440801447549,71.28853846155553,5.0,5.0
13,80.86406381791751,75.44424423408003,10.0,10.0
14,77.35693254675246,79.18215621972502,5.0,5.0
15,73.40060119949297,82.44089800702639,5.0,5.0
16,69.0600326274823,85.16696114592943,15.0,15.0
17,64.40649884667143,87.31558375505944,10.0,10.0
18,59.516410753087385,88.85148551057634,15.0,15.0
19,54.470063458032996,89.74944694811688,15.0,15.0
20,49.35031784457929,89.99472356570212,15.0,15.0
21,44.24123999415618,89.58328792805233,5.0,5.0
22,39.22672082381952,88.52189579696301,10.0,10.0
23,34.38909859971229,86.82797520188282,5.0,5.0
24,29.807806945011194,84.52934027215206,15.0,15.0
25,25.558070542029704,81.66373452976771,5.0,5.0
26,21.709669945014465,78.27821114179577,15.0,15.0
27,18.3257957853737,74.42836030866889,10.0,10.0
28,15.462011183256415,70.17739647463208,10.0,10.0
29,13.16533940265586,65.5951203483161,15.0,15.0
30,11.473491730714514,60.75677277703109,5.0,5.0
31,10.41424825943205,55.741799294134324,10.0,10.0
32,10.00500173732253,50.63254562556848,10.0,10.0
33,10.252471980964756,45.51290557531847,10.0,10.0
34,11.152595535799811,40.466943491469316,15.0,15.0
35,12.690592397942588,35.57751393193459,15.0,15.0
36,14.84120870143692,30.924901194906354,5.0,5.0
37,17.569131386036368,26.585501052898252,15.0,15.0
38,20.829568036677347,22.630566336272793,10.0,10.0
39,24.568982373695953,19.125036963736896,10.0,10.0
40,28.725973317060042,16.12647363067201,15.0,15.0
41,33.23228319040585,13.684112664107275,10.0,10.0
42,38.01391851019658,11.838057563591029,5.0,5.0
43,42.992364956676774,10.618620502836777,15.0,15.0
44,48.08587657683188,10.045824604668923,5.0,5.0
45,53.21081805067654,10.129075161899621,5.0,5.0
46,58.283037980896935,10.867005202680708,15.0,15.0
47,63.219250656467956,12.24749793614373,10.0,10.0
48,67.93840360172568,14.247885709771026,15.0,15.0
