id,x,y,total_work,remaining_work
0,85.05854671820998,93.13660049811006,10.0,10.0
1,45.15649555251002,16.6936956346035,10.0,10.0
2,24.87359754741192,59.164527617394924,5.0,5.0
3,58.41534063220024,32.67279481515288,10.0,10.0
4,66.36881297454238,71.13893935456872,15.0,15.0
5,1.466833334416151,44.84861046075821,10.0,10.0
6,31.23420588672161,80.86784910410643,10.0,10.0
7,89.77602049708366,4.6263485215604305,10.0,10.0
8,98.75515941530466,50.98257288336754,10.0,10.0
9,33.969239704310894,27.46821427717805,10.0,10.0
10,10.45379200950265,98.28472351655364,15.0,15.0
11,69.0990780480206,24.721536599099636,5.0,5.0
12,54.89598158746958,85.52311211824417,15.0,15.0
13,15.110181085765362,11.770704481750727,5.0,5.0
14,41.64190450683236,64.02662685140967,10.0,10.0
15,75.28730975463986,40.323047153651714,5.0,5.0
16,79.59790239110589,66.47441117092967,5.0,5.0
17,38.237683940678835,43.3575289323926,15.0,15.0
18,17.907101847231388,82.50233940780163,10.0,10.0
19,53.10308914631605,9.33662923052907,15.0,15.0
20,73.28762421384454,94.67653436586261,15.0,15.0
21,6.927477288991213,21.30941990762949,15.0,15.0
22,36.54645774513483,54.405442252755165,5.0,5.0
23,96.74251656979322,31.087156105786562,10.0,10.0
24,93.22909377515316,77.63878870755434,5.0,5.0
25,26.777104288339615,0.8105906657874584,15.0,15.0
26,3.406234737485647,74.94094045832753,5.0,5.0
27,63.52303950116038,48.063914105296135,15.0,15.0
28,62.08811663091183,61.99153903871775,10.0,10.0
29,20.636246353387833,35.30373377725482,10.0,10.0
30,47.21794342622161,90.4950519092381,15.0,15.0
31,82.3348673991859,13.856074586510658,5.0,5.0
32,83.43004221096635,57.809701561927795,10.0,10.0
33,49.88182010129094,34.05196228995919,10.0,10.0
34,20.12695837765932,91.7575522325933,10.0,10.0
35,60.010323487222195,18.04864089936018,15.0,15.0
36,64.76474637165666,79.51311841607094,15.0,15.0
37,6.216452736407518,6.00561136379838,5.0,5.0
38,26.512004621326923,69.75960498675704,15.0,15.0
39,91.39529820531607,46.20326962321997,10.0,10.0
40,94.13356818258762,99.63966766372323,10.0,10.0
41,35.49401015043259,23.34248721599579,15.0,15.0
42,8.950336184352636,52.36174147576094,10.0,10.0
43,73.75419093295932,26.11338933929801,5.0,5.0
44,50.25014318525791,65.38128489628434,15.0,15.0
45,16.610465943813324,38.943711668252945,5.0,5.0
46,40.11420151218772,86.90237607806921,5.0,5.0
47,79.91793705150485,10.415974911302328,15.0,15.0
48,78.09757282957435,84.27201304584742,10.0,10.0
