id,x,y,total_work,remaining_work
0,72.36300845577708,16.835322211623364,10.0,10.0
1,76.34330576193193,19.89966376378224,5.0,5.0
2,79.90815339949305,23.438705599455567,10.0,10.0
3,83.00133159167927,27.396634914773625,15.0,15.0
4,85.57405907062486,31.711032800081536,10.0,10.0
5,87.58576238711385,36.3138586234316,10.0,10.0
6,89.00471577811193,41.13252307199471,10.0,10.0
7,89.80854150100139,46.09103292888642,10.0,10.0
8,89.98456274395005,51.1111895315933,10.0,10.0
9,89.5300035468066,56.113822011594536,15.0,15.0
10,88.4520325796505,61.020035866252684,5.0,5.0
11,86.76765008858249,65.7524571722497,15.0,15.0
12,84.50341979168797,70.23645281857853,5.0,5.0
13,81.69504995333463,74.40130751528741,10.0,10.0
14,78.3868302435121,78.18133901584571,5.0,5.0
15,74.63093326327898,81.51693396540814,5.0,5.0
16,70.4865917516776,84.35548803903237,15.0,15.0
17,66.01916445005556,86.65223554330726,10.0,10.0
18,61.29910535567117,88.37095539807999,15.0,15.0
19,56.40085262006946,89.48454236452729,15.0,15.0
20,51.40165461496523,89.97543451096368,15.0,15.0
21,46.38035167927516,89.83589017499513,5.0,5.0
22,41.41613275987595,89.06811005415958,10.0,10.0
23,36.58728655460729,87.68420249961224,5.0,5.0
24,31.96996685273912,85.70599256019463,15.0,15.0
25,27.636991544222916,83.16467778837664,5.0,5.0
26,23.65669423806804,80.10033623621774,15.0,15.0
27,20.091846600506965,76.56129440054444,10.0,10.0
28,16.998668408320718,72.60336508522639,10.0,10.0
29,14.425940929375166,68.2889671999185,15.0,15.0
30,12.414237612886147,63.68614137656841,5.0,5.0
31,10.995284221888056,58.86747692800526,10.0,10.0
32,10.191458498998614,53.90896707111358,10.0,10.0
33,10.015437256049957,48.8888104684067,10.0,10.0
34,10.469996453193403,43.886177988405436,15.0,15.0
35,11.547967420349487,38.979964133747316,15.0,15.0
36,13.232349911417536,34.24754282775027,5.0,5.0
37,15.496580208312032,29.76354718142147,15.0,15.0
38,18.30495004666536,25.59869248471259,10.0,10.0
39,21.613169756487856,21.81866098415435,10.0,10.0
40,25.369066736721024,18.48306603459186,15.0,15.0
41,29.513408248322364,15.644511960967662,10.0,10.0
42,33.98083554994444,13.347764456692744,5.0,5.0
43,38.70089464432882,11.629044601920022,15.0,15.0
44,43.5991473799305,10.515457635472721,5.0,5.0
45,48.59834538503476,10.024565489036313,5.0,5.0
46,53.619648320724906,10.164109825004871,15.0,15.0
47,58.58386724012405,10.931889945840418,10.0,10.0
48,63.4127134453927,12.315797500387752,15.0,15.0
49,68.03003314726088,14.294007439805377,15.0,15.0
